id,title,summary,source_url,published_date,category,created_at,updated_at,source_name
47bd1fdd-f1ac-4373-8d07-13562672c77c,New Research Highlights The Hidden Burden of Celiac Disease,"New research sheds light on the often-overlooked impact of celiac disease on patients' daily lives, mental health, and healthcare costs, emphasizing the need for better awareness and earlier diagnosis.",https://celiac.org/2026/02/19/new-research-highlights-the-hidden-burden-of-celiac-disease/,2026-02-19,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
d749aa1a-30d2-4e2e-9804-ec99c3768d14,FB102-301 Study Investigating a Potential New Celiac Drug – Now Enrolling,A new Phase 3 clinical trial (FB102-301) is now enrolling patients to investigate a potential drug for celiac disease. The study aims to evaluate the safety and efficacy of a novel therapeutic approach.,https://celiac.org/2026/02/03/now-enrolling-patients-in-the-fb102-301-study-investigating-a-potential-new-celiac-drug/,2026-02-03,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
19e49a3c-be26-4616-acac-74b4f1e8d939,Celiac Disease and Gluten Free in the News – February 2026,"A monthly roundup of the latest celiac disease and gluten-free news, covering new product launches, clinical trial updates, policy changes, and community events from February 2026.",https://nationalceliac.org/news/celiac-disease-and-gluten-free-in-the-news-feb-2026/,2026-02-01,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,National Celiac Association
8369908f-8048-4ebb-accd-d0f813db62e6,Building Better Models to Unlock New Treatments for Celiac Disease,"Researchers are developing improved preclinical models that more accurately mimic celiac disease in humans, a critical step toward accelerating drug development and testing new therapeutic candidates.",https://celiac.org/2026/02/13/building-better-models-to-unlock-new-treatments-for-celiac-disease/,2026-02-13,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Disease Foundation
b86275c3-df8c-4731-8e0b-08da6464aba0,Celiac Disease Policy Updates – January 2026 Newsletter,"An overview of the latest policy developments affecting celiac patients, including gluten-free labeling regulations, insurance coverage updates, and advocacy efforts at the federal level.",https://theceliacsociety.org/celiac-disease-policy-updates-january-2026-newsletter/,2026-01-15,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Society for the Study of Celiac Disease
f5876c34-4c8b-4b3c-b5e3-76d1efa8f331,Is There a Cure for Celiac Disease in 2025?,"A comprehensive review of the current treatment landscape and ongoing clinical trials for celiac disease, examining promising drug candidates and immunotherapy approaches that could offer alternatives to a strict gluten-free diet.",https://int.livhospital.com/is-there-a-cure-for-celiac-disease-in-2025/,2026-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Liv Hospital
5620e627-040e-4f5a-9d59-d59397c911a4,5 Ongoing Breakthrough Clinical Trials Advancing Celiac Disease Research,"An overview of five major clinical trials currently underway that aim to transform celiac disease treatment, including enzyme therapies, immune modulators, and tight junction regulators.",https://trialx.com/5-ongoing-breakthrough-clinical-trials-advancing-celiac-disease-research/,2025-06-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,TrialX
6413513a-0c33-4820-975a-20faae06c54c,Celiac Disease Update 2025 – A Patient Guide,"A patient-friendly guide covering the latest advances in celiac disease management, including new diagnostic criteria, emerging therapies, dietary innovations, and practical tips for daily life.",https://doctordemaria.com/en/celiaca-disease-management-innovations-in-2025-updated-patient-guide-dr-de-maria/,2025-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Dr. de María
5433faa7-e9c2-4c54-a12b-ae16d638d41c,Celiac Disease Research & Treatment – 2025 Update,"A detailed update on celiac disease research progress including TAK-062, TAK-227, and other drug candidates in various stages of clinical trials, plus insights into microbiome and genetic research.",https://www.celiac.ca/celiac-disease-research-treatment-2025/,2025-01-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Canada
9c976d0c-c9de-4d3a-b49a-7ae0e6f057df,NASPGHAN 2025 Marks Major Shift in Celiac Disease Care & Research,"Coverage of the NASPGHAN 2025 conference highlighting paradigm shifts in celiac disease management, including updated pediatric guidelines, novel biomarkers, and AI-assisted diagnostics.",https://www.autoimmuneinstitute.org/research_updates/naspghan-2025-marks-major-shift-in-celiac-disease-care-research/,2025-10-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Autoimmune Institute
a34a1d5b-aaf9-4653-b67f-7daf31ce3f93,Recent Advances in the Diagnosis of Celiac Disease,"A scientific review examining breakthroughs in celiac disease diagnostics, including non-invasive serological tests, point-of-care testing, and the move toward biopsy-free diagnosis in both children and adults.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12476664/,2025-06-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,NIH / PMC
a10b701e-448c-4e86-b032-82970cb6bd94,Is There a Future Without Gluten Restrictions for Celiac Patients?,"A review exploring innovative approaches to reduce or modify gluten toxicity, including enzyme supplements, gluten-degrading bacteria, genetically modified wheat, and immune tolerance therapies.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12472395/,2025-05-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,NIH / PMC
64f90063-3f75-4e89-adf2-ff80f4d2ef4f,Celiac Disease: Hope for New Treatments Beyond a Gluten-Free Diet,"A therapeutic review covering the most promising treatment candidates for celiac disease that go beyond dietary management, including transglutaminase inhibitors, tolerogenic vaccines, and JAK inhibitors.",https://pubmed.ncbi.nlm.nih.gov/38648685/,2024-04-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,PubMed / NIH
53c05047-2576-426f-b737-b54558107d90,Beyond the Gluten-Free Diet: Innovations in Celiac Disease Therapeutics,"A scientific review analyzing the latest innovations in celiac disease therapeutics, from tight junction modulators and gluten-sequestering polymers to next-generation immunomodulatory drugs.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11525874/,2024-10-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,NIH / PMC
33307a99-2265-472d-af8a-31faa67abc6a,January 2026 Research News – Beyond Celiac,"Beyond Celiac's monthly research update covering new investment in celiac disease treatments, partnerships with pharmaceutical companies, and progress updates on multiple drug candidates in the pipeline.",https://www.beyondceliac.org/blog/january-2026/,2026-01-01,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Beyond Celiac
aac16bce-2ec3-4b51-b0ab-911632abcbe9,Celiac Disease and Gluten-Free in the News – February 2026 (Extended Coverage),"Extended coverage of February 2026 celiac news including PEPs (post-exposure prophylaxis) studies, new gluten-free product regulations, and updates on patient enrollment programs for clinical trials.",https://nationalceliac.org/news/celiac-disease-and-gluten-free-in-the-news-feb-2026/,2026-02-15,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,National Celiac Association
0bdbcb53-b772-4545-8da9-4a9f9eca6f4a,"Celiac Disease – Research Treatment 2025 (TAK-062, TAK-227 & More)","An in-depth look at TAK-062 (gluten-degrading enzyme), TAK-227 (immune modulator), and other promising drug candidates being developed by Takeda and other pharmaceutical companies for celiac disease.",https://www.celiac.ca/celiac-disease-research-treatment-2025/,2025-03-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Celiac Canada
d8cb3757-68a1-4fe3-af7e-7ffb21f25de0,Celiac Disease Policy & Regulatory Clarifications on Gluten-Free Products,"A comprehensive overview of regulatory updates regarding gluten-free product labeling, cross-contamination standards, and new policies aimed at protecting celiac patients in food service and retail.",https://theceliacsociety.org/celiac-disease-policy-updates-january-2026-newsletter/,2026-01-20,news,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Society for the Study of Celiac Disease
9fc707b3-08f3-4c0f-9bfb-1d1f380cf7ed,"New Therapies Pipeline Overview: TPM502, TAK-062, KAN-101, Amlitelimab, Ritlecitinib","A detailed pipeline review of the most advanced celiac disease drug candidates in clinical trials, including their mechanisms of action, current trial phases, and expected timelines for approval.",https://int.livhospital.com/is-there-a-cure-for-celiac-disease-in-2025/,2025-12-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Liv Hospital
1dc7bca5-fd7a-4712-8a3f-ceb0317b3ca3,"Innovations in CD Management: Microbiome, AI Diagnostics and Immune-Modulating Drugs","Coverage of cutting-edge innovations in celiac disease management presented at NASPGHAN 2025, including microbiome-based therapies, AI-powered endoscopy analysis, and next-generation immune-modulating drugs.",https://www.autoimmuneinstitute.org/research_updates/naspghan-2025-marks-major-shift-in-celiac-disease-care-research/,2025-11-01,research,2026-03-08 20:50:07.139955+00,2026-03-08 20:50:07.139955+00,Autoimmune Institute
